varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,5717968
c00100,0,1,-9e99,1,0,-1768782000
c00100,0,1,1,10000,0,1472096000
c00100,0,1,10000,25000,0,7046998000
c00100,0,1,25000,50000,0,23758294000
c00100,0,1,50000,75000,0,27212211000
c00100,0,1,75000,100000,0,25545628000
c00100,0,1,100000,200000,0,70742001000
c00100,0,1,200000,500000,0,49432935000
c00100,0,1,500000,1000000,0,18451866000
c00100,0,1,1000000,9e99,0,42823945000
c00100,1,1,-9e99,1,0,45270
c00100,1,1,1,10000,0,291790
c00100,1,1,10000,25000,0,407300
c00100,1,1,25000,50000,0,639050
c00100,1,1,50000,75000,0,441980
c00100,1,1,75000,100000,0,294350
c00100,1,1,100000,200000,0,516160
c00100,1,1,200000,500000,0,172400
c00100,1,1,500000,1000000,0,27330
c00100,1,1,1000000,9e99,0,12770
c00100,1,1,-9e99,1,1,29690
c00100,1,1,1,10000,1,255740
c00100,1,1,10000,25000,1,311530
c00100,1,1,25000,50000,1,419480
c00100,1,1,50000,75000,1,247310
c00100,1,1,75000,100000,1,104120
c00100,1,1,100000,200000,1,81360
c00100,1,1,200000,500000,1,17180
c00100,1,1,500000,1000000,1,2800
c00100,1,1,1000000,9e99,1,1410
c00100,1,1,-9e99,1,2,9120
c00100,1,1,1,10000,2,18620
c00100,1,1,10000,25000,2,41010
c00100,1,1,25000,50000,2,100580
c00100,1,1,50000,75000,2,129980
c00100,1,1,75000,100000,2,162630
c00100,1,1,100000,200000,2,412300
c00100,1,1,200000,500000,2,150590
c00100,1,1,500000,1000000,2,23720
c00100,1,1,1000000,9e99,2,10990
c00100,1,1,-9e99,1,4,5510
c00100,1,1,1,10000,4,14700
c00100,1,1,10000,25000,4,49200
c00100,1,1,25000,50000,4,103880
c00100,1,1,50000,75000,4,52180
c00100,1,1,75000,100000,4,22330
c00100,1,1,100000,200000,4,17420
c00100,1,1,200000,500000,4,3680
c00100,1,1,500000,1000000,4,660
c00100,1,1,1000000,9e99,4,280
e00200,0,1,-9e99,1,0,305397000
e00200,0,1,1,10000,0,1203933000
e00200,0,1,10000,25000,0,4710818000
e00200,0,1,25000,50000,0,18168678000
e00200,0,1,50000,75000,0,20464466000
e00200,0,1,75000,100000,0,18257142000
e00200,0,1,100000,200000,0,51346421000
e00200,0,1,200000,500000,0,32921410000
e00200,0,1,500000,1000000,0,10093320000
e00200,0,1,1000000,9e99,0,10669320000
e00200,2,1,-9e99,1,0,7120
e00200,2,1,1,10000,0,210310
e00200,2,1,10000,25000,0,301290
e00200,2,1,25000,50000,0,535810
e00200,2,1,50000,75000,0,372730
e00200,2,1,75000,100000,0,245650
e00200,2,1,100000,200000,0,444160
e00200,2,1,200000,500000,0,152110
e00200,2,1,500000,1000000,0,23800
e00200,2,1,1000000,9e99,0,10890
e00300,0,1,-9e99,1,0,24603000
e00300,0,1,1,10000,0,18457000
e00300,0,1,10000,25000,0,43415000
e00300,0,1,25000,50000,0,77402000
e00300,0,1,50000,75000,0,91953000
e00300,0,1,75000,100000,0,94924000
e00300,0,1,100000,200000,0,265186000
e00300,0,1,200000,500000,0,241801000
e00300,0,1,500000,1000000,0,135160000
e00300,0,1,1000000,9e99,0,620225000
e01500,0,1,-9e99,1,0,104190907.56681064
e01500,0,1,1,10000,0,251971488.18123823
e01500,0,1,10000,25000,0,847623669.8150743
e01500,0,1,25000,50000,0,2166146185.327066
e01500,0,1,50000,75000,0,2933930019.6325874
e01500,0,1,75000,100000,0,3359475825.3736625
e01500,0,1,100000,200000,0,8385202939.406625
e01500,0,1,200000,500000,0,4339752108.926207
e01500,0,1,500000,1000000,0,1000752311.809924
e01500,0,1,1000000,9e99,0,763345785.9358873
e02400,0,1,-9e99,1,0,241425385.71357945
